序号,分类,越南语,中文,级别,词性
103,一、数字、量词与度量衡,dư thừa,剩下 / 多余,B1,t.
104,八、商务经贸、合同条款与物流生产,cho ... vào,放进,B1,
105,十一、核心动词、形容词、连词与高频成语,hướng ... lên trên,朝上,B1,
106,十一、核心动词、形容词、连词与高频成语,xếp chung,摆在一起,B1,
107,八、商务经贸、合同条款与物流生产,hội thoại,会话,B1,d.
108,十一、核心动词、形容词、连词与高频成语,chủ đề,主题,B1,d.
109,二、时间、日期、月份与周期,mùa hè,夏天,B1,d.
110,五、交通出行、海关通关、地理与东南亚国家,môi trường,环境,B1,d.
111,三、人称代词、家庭亲属与职场社交,cùng,共同,B1,t.
112,十一、核心动词、形容词、连词与高频成语,suy nghĩ,想法 / 看法,B1,d.
113,十一、核心动词、形容词、连词与高频成语,phải làm gì,要做什么,B1,
114,十一、核心动词、形容词、连词与高频成语,Sa Pa,沙巴,B1,d.
115,五、交通出行、海关通关、地理与东南亚国家,cách đây,距今,B1,
116,十二、常用口语短句（高频）,cách đây lâu chưa,距今多久了?,B1,
117,十一、核心动词、形容词、连词与高频成语,trước kia,以前,B1,d.
118,五、交通出行、海关通关、地理与东南亚国家,thuận tiện,方便/便利,B1,t.
119,五、交通出行、海关通关、地理与东南亚国家,đường đi lên,去……的道路,B1,
120,十一、核心动词、形容词、连词与高频成语,so với,与……相比,B1,
121,二、时间、日期、月份与周期,mất thời gi,耗时间,B1,
122,十一、核心动词、形容词、连词与高频成语,vì sao,为什么,B1,đ.
123,三、人称代词、家庭亲属与职场社交,chị ấy,她,B1,
124,十一、核心动词、形容词、连词与高频成语,vì,因为,B1,k.
125,十一、核心动词、形容词、连词与高频成语,hỏng,坏,B1,t.
126,十一、核心动词、形容词、连词与高频成语,tàu điện cao tốc,高铁,B1,
127,十一、核心动词、形容词、连词与高频成语,tàu điện trên,轻轨,B1,
128,九、金融理财、股市交易与外汇结算,những lợi ích,益处/好处/利益,B1,
129,五、交通出行、海关通关、地理与东南亚国家,tắc đường,堵车 / 交通拥挤,B1,
130,五、交通出行、海关通关、地理与东南亚国家,tiết kiệm được,能节省,B1,
131,十一、核心动词、形容词、连词与高频成语,tại sao,为什么,B1,đ.
132,十一、核心动词、形容词、连词与高频成语,cứu,救,B1,đg.
133,十一、核心动词、形容词、连词与高频成语,châu chấu,蚱蜢,B1,d.
134,十一、核心动词、形容词、连词与高频成语,ngại,怕,B1,đg.
135,十一、核心动词、形容词、连词与高频成语,chết đói,饿死,B1,
136,十一、核心动词、形容词、连词与高频成语,luôn,总是,B1,p.
137,六、购物百货、服装尺码、颜色与售后,hiểu ra,明白,B1,
138,十一、核心动词、形容词、连词与高频成语,không phải,不是,B1,
139,十一、核心动词、形容词、连词与高频成语,cũng có,也有,B1,
140,十一、核心动词、形容词、连词与高频成语,Khâu Vai,蔻瓦伊,B2,d.
141,五、交通出行、海关通关、地理与东南亚国家,chợ tình,爱情集市,B2,
142,三、人称代词、家庭亲属与职场社交,những người yêu nhau,恋人,B2,
143,九、金融理财、股市交易与外汇结算,lấy nhau,结婚,B2,
144,九、金融理财、股市交易与外汇结算,không lấy được nhau,不能结婚,B2,
145,六、购物百货、服装尺码、颜色与售后,mua bán,买卖,B2,đg.
146,六、购物百货、服装尺码、颜色与售后,hàng hóa,货物,B2,d.
147,十一、核心动词、形容词、连词与高频成语,hôn lễ,婚礼,B2,d.
148,十一、核心动词、形容词、连词与高频成语,ca ngợi,歌颂,B2,đg.
149,九、金融理财、股市交易与外汇结算,đôi lứa,情侣,B2,d.
150,十一、核心动词、形容词、连词与高频成语,nét đẹp văn hóa,文化之美,B2,
151,四、餐饮美食、水果特产与生活调料,gặp nhau,见面,B2,
152,十一、核心动词、形容词、连词与高频成语,bài,课文,B2,d.
153,十一、核心动词、形容词、连词与高频成语,thách thức,挑战,B2,d.
154,八、商务经贸、合同条款与物流生产,kinh tế số,数字经济,B2,
155,八、商务经贸、合同条款与物流生产,khoa học công nghệ,科技,B2,
156,八、商务经贸、合同条款与物流生产,kinh tế xã hội,经济社会,B2,
157,五、交通出行、海关通关、地理与东南亚国家,các nước đang phát triển,发展中国家,B2,
158,十一、核心动词、形容词、连词与高频成语,đột phá,突破性,B2,t.
159,十一、核心动词、形容词、连词与高频成语,lĩnh vực,领域,B2,d.
160,八、商务经贸、合同条款与物流生产,trải qua,经历,B2,đg.
161,十一、核心动词、形容词、连词与高频成语,cuộc cách mạng,革命,B2,
162,一、数字、量词与度量衡,lần thứ tư,第四次,B2,
163,十一、核心动词、形容词、连词与高频成语,khiến cho,让 / 使,B2,
164,五、交通出行、海关通关、地理与东南亚国家,tiến thẳng,直接走向,B2,
165,八、商务经贸、合同条款与物流生产,tạo nên,创造出,B2,
166,十一、核心动词、形容词、连词与高频成语,yếu tố,因素,B2,d.
167,十一、核心动词、形容词、连词与高频成语,định nghĩa,定义,B2,d.
168,十一、核心动词、形容词、连词与高频成语,bản thân,自己 / 自身,B2,d.
169,六、购物百货、服装尺码、颜色与售后,thang đo hạnh phúc,幸福量表,B2,
170,十、医疗健康、人体疾病与紧急求助,sức khỏe tâm thần,精神健康,B2,
171,十一、核心动词、形容词、连词与高频成语,cần phải,需要,B2,
172,三、人称代词、家庭亲属与职场社交,vitamin,维生素,B2,d.
173,六、购物百货、服装尺码、颜色与售后,khoáng chất,矿物质,B2,d.
174,八、商务经贸、合同条款与物流生产,tăng cường,增加,B2,đg.
175,六、购物百货、服装尺码、颜色与售后,thực phẩm,食品,B2,d.
176,十一、核心动词、形容词、连词与高频成语,một trong những one,… 之一,B2,
177,十、医疗健康、人体疾病与紧急求助,mối lo ngại c,担忧/ 顾虑/担心,B2,
178,十一、核心动词、形容词、连词与高频成语,thực phẩm bổ sung,膳食补充剂,B2,
179,六、购物百货、服装尺码、颜色与售后,quá liều,过量,B2,
180,六、购物百货、服装尺码、颜色与售后,gây độc,引起中毒,B2,
181,九、金融理财、股市交易与外汇结算,thông tin,信息,B2,d.
182,二、时间、日期、月份与周期,với,关联词，连接后面的成分,B2,k.
183,十、医疗健康、人体疾病与紧急求助,thảo dược,草药,B2,d.
184,四、餐饮美食、水果特产与生活调料,dưới đây,下面,B2,
185,十一、核心动词、形容词、连词与高频成语,chữa khỏi,治愈,B2,
186,八、商务经贸、合同条款与物流生产,gây ra,引起/ 造成,B2,
187,十一、核心动词、形容词、连词与高频成语,1 (một),一,未标注,d.
188,八、商务经贸、合同条款与物流生产,giám khảo,监考员,未标注,d.
189,三、人称代词、家庭亲属与职场社交,thí sinh,考生,未标注,d.
190,四、餐饮美食、水果特产与生活调料,nếu,如果,未标注,k.
191,八、商务经贸、合同条款与物流生产,giao tiếp xã hội,交际,未标注,
192,三、人称代词、家庭亲属与职场社交,quê hương củ,你的家乡,未标注,
193,十二、常用口语短句（高频）,hãy cho tôi biết,望你讲给我听,未标注,
194,八、商务经贸、合同条款与物流生产,lời khuyên,建议,未标注,
195,五、交通出行、海关通关、地理与东南亚国家,phương pháp,方法,未标注,d.
196,八、商务经贸、合同条款与物流生产,kết hợp,结合,未标注,đg.
197,八、商务经贸、合同条款与物流生产,nghề nghiệp,职业,未标注,d.
198,十一、核心动词、形容词、连词与高频成语,việc định hướng,定向,未标注,
199,十一、核心动词、形容词、连词与高频成语,giỏi giang,精明干练,A1-B1,t.
200,二、时间、日期、月份与周期,Thiên An,天安,A1-B1,d.
201,十一、核心动词、形容词、连词与高频成语,nhưng,但是,A1-B1,k.
202,十二、常用口语短句（高频）,vợ tôi my w,我老婆,A1-B1,
203,三、人称代词、家庭亲属与职场社交,tên cô ấy,她的名字,A1-B1,
204,三、人称代词、家庭亲属与职场社交,người Trung Quốc C,中国人,A1-B1,
205,三、人称代词、家庭亲属与职场社交,quen nhau familiar,认识,A1-B1,
206,六、购物百货、服装尺码、颜色与售后,năm thứ ba,大三,A1-B1,
207,二、时间、日期、月份与周期,lúc đó,那时,A1-B1,
208,八、商务经贸、合同条款与物流生产,ra trường graduate,毕业,A1-B1,
209,三、人称代词、家庭亲属与职场社交,cô c,女儿,A1-B1,
210,十一、核心动词、形容词、连词与高频成语,cả ... và,和,A1-B1,
211,六、购物百货、服装尺码、颜色与售后,tiếng Trung C,汉语 / 中文,A1-B1,
212,十一、核心动词、形容词、连词与高频成语,tránh,避免,A1-B1,đg.
213,六、购物百货、服装尺码、颜色与售后,lượng,流量,A1-B1,d.
214,二、时间、日期、月份与周期,quanh,周边,A1-B1,d.
215,二、时间、日期、月份与周期,hàng ngày,每天,A1-B1,
216,十一、核心动词、形容词、连词与高频成语,đi dạo walk,逛逛,A1-B1,
217,五、交通出行、海关通关、地理与东南亚国家,con phố cổ,古街,A1-B1,
218,四、餐饮美食、水果特产与生活调料,đi ăn,去吃,A1-B1,
219,四、餐饮美食、水果特产与生活调料,những món ăn,小吃,A1-B1,
220,十一、核心动词、形容词、连词与高频成语,thăm,看,A1-B1,đg.
221,九、金融理财、股市交易与外汇结算,nở,开,A1-B1,đg.
222,二、时间、日期、月份与周期,tiết trời,天气,A1-B1,d.
223,十一、核心动词、形容词、连词与高频成语,thưởng thức,欣赏,A1-B1,đg.
224,十一、核心动词、形容词、连词与高频成语,cùng nhau,一起,A1-B1,
225,三、人称代词、家庭亲属与职场社交,bố mẹ vợ tôi,岳父岳母,A1-B1,
226,三、人称代词、家庭亲属与职场社交,sinh sống live,生活,A1-B1,
227,十一、核心动词、形容词、连词与高频成语,se se lạnh,有点冷,A1-B1,
228,七、酒店住宿、房屋租赁与日常家务,nắng nhẹ,柔和的阳光,A1-B1,
229,八、商务经贸、合同条款与物流生产,ông bà ngoại,外公外婆,A1-B1,
230,五、交通出行、海关通关、地理与东南亚国家,đi ngắm hoa nở,去赏花,A1-B1,
231,四、餐饮美食、水果特产与生活调料,hải sản,海鲜,A1-B1,d.
232,八、商务经贸、合同条款与物流生产,được chế biến,做 / 加工,A1-B1,
233,二、时间、日期、月份与周期,nem hải sản seafood,海鲜春卷,A1-B1,
234,一、数字、量词与度量衡,bún miến hải sản,海鲜米线粉丝,A1-B1,
235,四、餐饮美食、水果特产与生活调料,hải sản nướng,烧烤海鲜,A1-B1,
236,十一、核心动词、形容词、连词与高频成语,thích ... nhất,最喜欢 …,A1-B1,
237,二、时间、日期、月份与周期,tiếng,小时,A1-B1,d.
238,十一、核心动词、形容词、连词与高频成语,lượt,次,A1-B1,d.
239,五、交通出行、海关通关、地理与东南亚国家,tham quan,参观,A1-B1,đg.
240,一、数字、量词与度量衡,nghỉ dưỡng,度假,A1-B1,đg.
241,五、交通出行、海关通关、地理与东南亚国家,có thể đến với,可以来到,A1-B1,
242,五、交通出行、海关通关、地理与东南亚国家,thành phố biển b,海边城市,A1-B1,
243,三、人称代词、家庭亲属与职场社交,ở đây,这里/这儿,A1-B1,
244,十一、核心动词、形容词、连词与高频成语,hàng trăm nghìn,数十万,A1-B1,
245,十一、核心动词、形容词、连词与高频成语,tận hưởng,享受,A1-B1,đg.
246,五、交通出行、海关通关、地理与东南亚国家,lang thang,漫步走,A1-B1,đg.
247,六、购物百货、服装尺码、颜色与售后,giá,价格,A1-B1,d.
248,七、酒店住宿、房屋租赁与日常家务,phòng,房间,A1-B1,d.
249,五、交通出行、海关通关、地理与东南亚国家,vui chơi entertainment area,游玩,A1-B1,
250,五、交通出行、海关通关、地理与东南亚国家,khu phố quarter,街区,A1-B1,
251,五、交通出行、海关通关、地理与东南亚国家,ven biển seaside,海边,A1-B1,
252,十一、核心动词、形容词、连词与高频成语,3 sao 3 stars,三星级,A1-B1,
253,十一、核心动词、形容词、连词与高频成语,4 sao 4 stars,四星级,A1-B1,
254,十一、核心动词、形容词、连词与高频成语,5 sao 5 stars,五星级,A1-B1,
255,十一、核心动词、形容词、连词与高频成语,không ... gì,什么也不...,A1-B1,
256,十一、核心动词、形容词、连词与高频成语,không thua kém,不亚于,A1-B1,
257,十一、核心动词、形容词、连词与高频成语,8 trăm 8 hundreds,八百,A1-B1,
258,十一、核心动词、形容词、连词与高频成语,1 triệu 1 million,一百万,A1-B1,
259,三、人称代词、家庭亲属与职场社交,người vợ,妻子,A1-B1,
260,三、人称代词、家庭亲属与职场社交,người nước nào,哪国人,A1-B1,
261,三、人称代词、家庭亲属与职场社交,hai vợ chồng,夫妻俩,A1-B1,
262,十一、核心动词、形容词、连词与高频成语,tốt hơn,更好,A1-B1,
263,十一、核心动词、形容词、连词与高频成语,như nhau,一样,A1-B1,
264,十一、核心动词、形容词、连词与高频成语,cả ... đều ...,全... 都,A1-B1,
265,八、商务经贸、合同条款与物流生产,hội nghị,会议,A1-B1,d.
266,九、金融理财、股市交易与外汇结算,tổng kết,总结,A1-B1,đg.
267,七、酒店住宿、房屋租赁与日常家务,thủ tướng,总理,A1-B1,d.
268,八、商务经贸、合同条款与物流生产,ghi nhận,认可,A1-B1,đg.
269,九、金融理财、股市交易与外汇结算,căn bản,根本,A1-B1,t.
270,四、餐饮美食、水果特产与生活调料,toàn diện,全面,A1-B1,t.
271,五、交通出行、海关通关、地理与东南亚国家,quốc dân,国民,A1-B1,d.
272,七、酒店住宿、房屋租赁与日常家务,nhấn mạnh,强调,A1-B1,đg.
273,十一、核心动词、形容词、连词与高频成语,rằng,的是,A1-B1,k.
274,十一、核心动词、形容词、连词与高频成语,hoàn thiện,完善,A1-B1,t.
275,八、商务经贸、合同条款与物流生产,tiệm cận,接近,A1-B1,đg.
276,十一、核心动词、形容词、连词与高频成语,cấp độ,级别,A1-B1,d.
277,十一、核心动词、形容词、连词与高频成语,hứa hẹn,承诺,A1-B1,đg.
278,八、商务经贸、合同条款与物流生产,tạo ra,创造,A1-B1,đg.
279,五、交通出行、海关通关、地理与东南亚国家,cơ hội,机会,A1-B1,d.
280,八、商务经贸、合同条款与物流生产,thế hệ,代,A1-B1,d.
281,八、商务经贸、合同条款与物流生产,sự th,参加,A1-B1,
282,二、时间、日期、月份与周期,chiều nay,今天下午,A1-B1,
283,八、商务经贸、合同条款与物流生产,buổi họp,会议,A1-B1,
284,八、商务经贸、合同条款与物流生产,những tiến bộ,进步,A1-B1,
285,七、酒店住宿、房屋租赁与日常家务,ngành giáo dục educati,教育部门,A1-B1,
286,十一、核心动词、形容词、连词与高频成语,việc đổi mới,改革,A1-B1,
287,二、时间、日期、月份与周期,ngày càng ...,日益 ...,A1-B1,
288,十一、核心动词、形容词、连词与高频成语,đặc biệt là,特别是,A1-B1,
289,二、时间、日期、月份与周期,cấp học,教育阶段,A1-B1,
290,十一、核心动词、形容词、连词与高频成语,được chú trọng,注重,A1-B1,
291,六、购物百货、服装尺码、颜色与售后,tập trung,集中,A1-B1,đg.
292,十一、核心动词、形容词、连词与高频成语,kiên quyết,坚决,A1-B1,t.
293,十一、核心动词、形容词、连词与高频成语,ngăn chặn,防止,A1-B1,đg.
294,六、购物百货、服装尺码、颜色与售后,ma túy,毒品,A1-B1,d.
295,十一、核心动词、形容词、连词与高频成语,xâm nhập,入侵,A1-B1,đg.
296,七、酒店住宿、房屋租赁与日常家务,học đường,校园,A1-B1,d.
297,十一、核心动词、形容词、连词与高频成语,xâm hại,侵犯 / 侮辱,A1-B1,đg.
298,五、交通出行、海关通关、地理与东南亚国家,đạo đức,道德,A1-B1,d.
299,三、人称代词、家庭亲属与职场社交,nhân cách,人格,A1-B1,d.
300,八、商务经贸、合同条款与物流生产,được phép,获许,A1-B1,đ.
301,九、金融理财、股市交易与外汇结算,tình trạng,状况 / 情况,A1-B1,d.
302,十一、核心动词、形容词、连词与高频成语,bạo lực,暴力,A1-B1,d.
303,三、人称代词、家庭亲属与职场社交,giáo viên,老师,A1-B1,d.
304,六、购物百货、服装尺码、颜色与售后,chuẩn mực,标准,A1-B1,d.
305,五、交通出行、海关通关、地理与东南亚国家,quá trình,过程,A1-B1,d.
306,十一、核心动词、形容词、连词与高频成语,cấp,级别,A1-B1,d.
307,六、购物百货、服装尺码、颜色与售后,cao đẳng,大专,A1-B1,d.
308,十一、核心动词、形容词、连词与高频成语,rà soát,审查,A1-B1,đg.
309,十一、核心动词、形容词、连词与高频成语,cải thiện,改善,A1-B1,đg.
310,十一、核心动词、形容词、连词与高频成语,giảng dạy,教学,A1-B1,đg.
311,二、时间、日期、月份与周期,đồng thời,同时,A1-B1,p.
312,五、交通出行、海关通关、地理与东南亚国家,hải đảo,海岛,A1-B1,d.
313,十一、核心动词、形容词、连词与高频成语,sắp tới,下一个,A1-B1,
314,十一、核心动词、形容词、连词与高频成语,Bộ Giáo dục và Đào tạo,教育培训部,A1-B1,
315,一、数字、量词与度量衡,thứ nhất,第一,A1-B1,
316,八、商务经贸、合同条款与物流生产,tệ nạn xã hội,社会弊病,A1-B1,
317,十一、核心动词、形容词、连词与高频成语,trong điều kiện,条件下,A1-B1,
318,十一、核心动词、形容词、连词与高频成语,giáo dục thường xuyên,继续教育,A1-B1,
319,十一、核心动词、形容词、连词与高频成语,môn Giáo dục công dân,德育课,A1-B1,
320,五、交通出行、海关通关、地理与东南亚国家,vùng sâu,偏远地区,A1-B1,
321,九、金融理财、股市交易与外汇结算,chính sách,政策,A1-B1,d.
322,七、酒店住宿、房屋租赁与日常家务,giữ chân,留住,A1-B1,đg.
323,十一、核心动词、形容词、连词与高频成语,vừa qua,最近,A1-B1,d.
324,五、交通出行、海关通关、地理与东南亚国家,ngành,行业,A1-B1,d.
325,十一、核心动词、形容词、连词与高频成语,hoặc,或者,A1-B1,k.
326,六、购物百货、服装尺码、颜色与售后,số liệu,数据,A1-B1,d.
327,十一、核心动词、形容词、连词与高频成语,thống kê,统计,A1-B1,đg.
328,五、交通出行、海关通关、地理与东南亚国家,toàn quốc,全国,A1-B1,d.
329,十一、核心动词、形容词、连词与高频成语,thiếu hụt,短缺,A1-B1,t.
330,十一、核心动词、形容词、连词与高频成语,nghiêm trọng,严重,A1-B1,t.
331,十一、核心动词、形容词、连词与高频成语,con số,数字,A1-B1,d.
332,五、交通出行、海关通关、地理与东南亚国家,dẫn đến,导致,A1-B1,
333,五、交通出行、海关通关、地理与东南亚国家,chuyển,转到/换,A1-B1,
334,五、交通出行、海关通关、地理与东南亚国家,lên tới,增加到,A1-B1,
335,八、商务经贸、合同条款与物流生产,bí thư,书记,A1-B1,d.
336,五、交通出行、海关通关、地理与东南亚国家,tỉnh ủy,省委,A1-B1,d.
337,十一、核心动词、形容词、连词与高频成语,Yên Bái,安沛,A1-B1,d.
338,五、交通出行、海关通关、地理与东南亚国家,đạt,达到,A1-B1,đg.
339,八、商务经贸、合同条款与物流生产,định mức,定额,A1-B1,d.
340,七、酒店住宿、房屋租赁与日常家务,suốt,整整,A1-B1,t.
341,八、商务经贸、合同条款与物流生产,đợt,批,A1-B1,d.
342,十一、核心动词、形容词、连词与高频成语,tổng,总,A1-B1,d.
343,六、购物百货、服装尺码、颜色与售后,chỉ tiêu,指标,A1-B1,d.
344,十一、核心动词、形容词、连词与高频成语,đăng ký,报名,A1-B1,đg.
345,八、商务经贸、合同条款与物流生产,tin học,信息技术,A1-B1,d.
346,三、人称代词、家庭亲属与职场社交,ông Đỗ Đức,杜德维先生,A1-B1,
347,十一、核心动词、形容词、连词与高频成语,cho biết said,表示,A1-B1,
348,二、时间、日期、月份与周期,trong suốt ba năm,整整三年内,A1-B1,
349,六、购物百货、服装尺码、颜色与售后,trắng bảng (a slang,空白,A1-B1,
350,六、购物百货、服装尺码、颜色与售后,sửa đổi,修改,A1-B1,đg.
351,一、数字、量词与度量衡,chế độ,制度,A1-B1,d.
352,八、商务经贸、合同条款与物流生产,đãi ngộ,待遇,A1-B1,đg.
353,十一、核心动词、形容词、连词与高频成语,mầm non,学前(教育),A1-B1,d.
354,八、商务经贸、合同条款与物流生产,cân nhắc,考虑,A1-B1,đg.
355,八、商务经贸、合同条款与物流生产,tăng,增加,A1-B1,đg.
356,八、商务经贸、合同条款与物流生产,đặt ra,提出,A1-B1,
357,十一、核心动词、形容词、连词与高频成语,một số some /,一些,A1-B1,
358,八、商务经贸、合同条款与物流生产,việc xây dựng,建设,A1-B1,
359,十一、核心动词、形容词、连词与高频成语,dành,给予,A1-B1,
360,八、商务经贸、合同条款与物流生产,tìm ra,找出,A1-B1,
361,四、餐饮美食、水果特产与生活调料,hiệu quả,效果,A1-B1,d.
